ssn,name,race,country,sentence_length
208-69-9389,Gerome Paulisch,Delaware,Russia,281
358-86-0449,Alvie Growcott,Mexican,Panama,60
414-97-5006,Alida Durdy,Osage,Japan,222
730-67-5173,Jae Cottrill,Sioux,Japan,68
323-31-9413,Rouvin Rimbault,Bangladeshi,Vanuatu,25
200-81-8975,Jaymie Dudeney,Cuban,China,180
658-87-6039,Vin Wollen,Creek,Japan,272
827-11-3869,Kalvin Chasson,Eskimo,Thailand,98
408-86-1088,Brynn Lambden,Yuman,Ecuador,54
140-94-6088,Roanna Crinidge,Argentinian,Brazil,229
227-11-0441,Art Lanston,Menominee,Poland,341
835-29-4705,Antonino Gillaspy,Ottawa,Japan,358
197-09-9680,Dannie Matitiaho,Sioux,China,75
687-42-9430,Barrett Moyle,Nicaraguan,Ireland,390
672-57-1479,Forbes Prinne,Puerto Rican,Indonesia,313
160-96-4752,Claudell Ainslie,Spaniard,Lesotho,56
866-76-7045,Salaidh McConnachie,Delaware,China,107
373-06-9710,Betsey Hefner,Venezuelan,China,255
480-95-5760,Sophey Welch,Thai,Guatemala,15
169-48-3730,Kathryn Phin,Bangladeshi,Russia,252
373-97-7508,Park Eul,Samoan,Slovenia,391
417-70-3645,Dallon Agent,Menominee,Canada,153
729-05-5461,Sybille Cressor,Chinese,Bangladesh,93
400-92-9589,Marnia Kaaskooper,Paiute,China,395
773-21-7362,Jamison Craigmyle,Chilean,China,92
369-26-0156,Alessandro Arndtsen,Cheyenne,Indonesia,361
857-20-8231,Mohandis O'Luby,Colville,Russia,78
130-96-0075,Nina Farrear,Mexican,Tanzania,321
311-90-8849,Jock Cahan,Tongan,China,42
494-06-3207,Ole Spracklin,Native Hawaiian and Other Pacific Islander (NHPI),Brazil,304
371-07-1679,Elvin Sprowles,Fijian,Canada,46
446-42-0136,Franciskus Hedney,Fijian,Dominican Republic,73
107-78-5644,Sheba Le Strange,Choctaw,Japan,364
128-77-2972,Roxi Drakeford,Guamanian,Ukraine,340
863-07-1898,Stacy Roostan,Yaqui,China,342
539-57-9110,Dmitri Cottill,Cuban,Bosnia and Herzegovina,114
411-41-0884,Dennis Lepere,Chamorro,Indonesia,56
707-02-7334,Graeme Michelle,Argentinian,Indonesia,173
865-02-5109,Ramsey Quade,Argentinian,Norway,168
222-75-2211,Clarine Labrone,Colombian,Uganda,1
744-62-7204,Cristine Amar,Thai,Russia,389
145-36-7619,Gregg Bogue,Central American,Netherlands,89
367-70-7295,Lenette Tole,Choctaw,China,208
754-90-2540,Rosella Pulley,Tongan,China,292
695-30-5231,Carmel Climpson,Korean,Philippines,150
212-53-4951,Cletis Chagg,Apache,Indonesia,148
885-42-0930,Arleyne Spancock,Lumbee,France,377
850-54-7949,Loutitia O'Sculley,Vietnamese,China,64
859-75-5344,Vere Slyne,Puerto Rican,China,327
844-08-9479,Joel Oates,Paiute,Saudi Arabia,39
314-68-8355,Kiersten Harness,Uruguayan,Peru,100
763-15-2945,Wyndham Petras,Polynesian,Russia,316
321-39-1846,Tracee Riepel,Tohono O'Odham,Indonesia,128
202-55-9428,Modesty O'Donohue,Sioux,Indonesia,92
236-48-0161,Jerrylee Clemens,Cheyenne,Brazil,69
233-73-6613,Kelsy Maytom,Laotian,Cameroon,334
882-60-5693,Des Alexandrou,Potawatomi,Poland,240
738-49-3185,Freida Nagle,Black or African American,Sweden,71
298-06-7503,Adrien Sarre,Ecuadorian,Russia,199
840-80-6319,Felizio Watman,Delaware,Honduras,296
116-31-7998,Misty Sherrington,Apache,Philippines,60
859-92-8396,Sawyere Normansell,Latin American Indian,Nigeria,283
146-05-9237,Gerald Jenking,Dominican (Dominican Republic),China,114
229-36-3840,Willie Carn,Bangladeshi,Argentina,333
397-80-0579,Effie Lippitt,Thai,Russia,141
370-92-3924,Ivett Vost,Thai,Cuba,192
421-45-9861,Joel Ellwood,Cree,Philippines,241
403-64-0121,Elysia Hunte,Taiwanese,Vietnam,119
846-89-9894,Brion Popplewell,Thai,Russia,123
558-93-0752,Olia Gaye,Guamanian,Albania,114
275-55-0380,Orlando Pennazzi,Chamorro,Indonesia,114
129-99-9619,Kimberley Burgwin,Osage,China,212
174-82-7560,Jeth Springate,Black or African American,France,35
367-34-3520,Kellen Dyble,Comanche,Russia,330
395-80-7197,Min Westfalen,Argentinian,China,68
348-87-9224,Emmalynn McCroft,Latin American Indian,China,120
105-22-4391,Bearnard Domaschke,Cree,China,94
731-34-5612,Lane Varren,Tlingit-Haida,Indonesia,373
789-93-9061,Mahmud Abrashkov,Fijian,Poland,121
228-28-2701,Dee dee Gladden,Shoshone,Argentina,54
324-66-8532,Theresa Blessed,Mexican,Czech Republic,114
298-97-3189,Alvie Whales,Chilean,Portugal,356
604-77-4577,Liana Beckers,Cheyenne,Nigeria,120
704-70-5803,Brigitte Tutton,Aleut,Peru,67
220-91-5657,Etty Lots,Nicaraguan,Brazil,362
425-15-3010,Gui Itzakson,Dominican (Dominican Republic),Portugal,283
248-43-4398,Barbette Leckie,Laotian,Honduras,247
792-31-1037,Emelyne Bates,Guamanian,Poland,43
686-34-0447,Kirbie Degenhardt,South American,Mexico,139
168-26-1364,Sheelah Allsobrook,Pakistani,Russia,157
262-78-4096,Maryann Dearan,Iroquois,Poland,213
294-49-4053,Cordelia Greenin,Yakama,Lithuania,68
165-75-1857,Christy Coopland,Filipino,South Korea,84
202-40-2843,Rochella Sondland,Lumbee,Tanzania,350
752-30-7939,Annabel Cleeves,Yuman,China,309
876-80-4780,Gwennie MacGuffie,Paraguayan,Philippines,148
278-62-7879,Maximilianus Serridge,Ecuadorian,Indonesia,130
784-54-5394,Denney Iskower,Chinese,France,376
391-87-0013,Chickie Philler,Cuban,France,242
826-42-6372,Wilbur Levitt,Spaniard,Kenya,147
150-04-9644,Edy Truse,Micronesian,Serbia,119
213-41-9128,Desdemona Drew,Tohono O'Odham,Russia,345
386-21-5954,Phillip Patters,Choctaw,Sierra Leone,195
833-11-6243,Valerye Bucham,Panamanian,United States,1
898-10-2065,Astrix Badder,Cheyenne,Japan,148
728-40-5788,Judy Acedo,Pakistani,Bangladesh,391
587-85-9075,Ollie Pedersen,Delaware,Brazil,332
702-08-6685,Isa Gottschalk,Yakama,China,170
789-29-9393,Kaylee Sall,Sioux,Cuba,222
447-56-7825,Elka O'Farrell,Bangladeshi,Cameroon,139
672-90-6384,Laurette Giffard,Salvadoran,France,64
879-37-5585,Ingunna Snuggs,Asian Indian,Brazil,295
770-49-7689,Osmund Chance,Pueblo,Mexico,49
154-30-0688,Aharon Asbury,Pueblo,Brazil,114
314-46-0866,Lindy Aleksandrov,Aleut,Mauritius,64
401-89-7147,Hamnet Pedgrift,Bolivian,Indonesia,10
187-51-8075,Reggi Greenrde,Paiute,China,350
685-04-8210,Giffard Karby,Tongan,Netherlands,297
224-81-2319,Ninette Algie,Aleut,Pakistan,200
109-42-3677,L;urette Challenor,Korean,Indonesia,186
143-52-7334,Martie Braksper,Micronesian,China,165
795-18-3300,Deana Enders,Colville,Palestinian Territory,221
381-82-5501,Ivar Alexander,Asian,Czech Republic,194
349-53-1791,Truda Gault,Venezuelan,Japan,93
797-56-5355,Lorrin Walburn,Creek,Philippines,364
447-49-1571,Jolee Sanbrook,Black or African American,China,216
428-11-2433,Penelopa Evett,Pueblo,Mexico,132
276-26-2765,Willi Kindon,Indonesian,Indonesia,71
799-39-8251,Tiffany Luto,Spaniard,Canada,391
427-75-5783,Allen Scrauniage,Tongan,Brazil,33
532-20-6910,Vanya Pidgeon,Venezuelan,Syria,118
748-21-0122,Seumas Ruddoch,Black or African American,China,168
122-04-7807,Monti Menezes,Pakistani,Russia,20
582-20-0050,Isidore Segrave,Indonesian,Indonesia,304
436-57-4537,Dorri Southey,Korean,Sweden,130
859-54-9877,Biddie Lowrance,Puget Sound Salish,Haiti,293
551-05-2401,Daile Bilney,Filipino,Czech Republic,320
411-39-2281,Hunter Fattorini,Guatemalan,China,310
376-84-7028,Hedi Faulkes,Chinese,Saudi Arabia,267
349-66-2681,Sol Bogie,Latin American Indian,Portugal,383
583-79-4690,Idette Clubb,Honduran,Portugal,383
141-40-4982,Shanan Gebhard,Puerto Rican,Philippines,197
806-12-6590,Dietrich Gendricke,Native Hawaiian and Other Pacific Islander (NHPI),Afghanistan,362
730-19-3463,Sarge Redfern,American Indian and Alaska Native (AIAN),France,90
384-99-5749,Wilden Scamwell,Pima,Argentina,36
433-69-3180,Mommy Sizeland,Thai,Peru,103
569-61-1560,Viviana Pennings,Peruvian,Iran,344
103-45-8360,Laurianne Thresh,Ecuadorian,France,79
653-13-9362,Gaelan Dibdale,Kiowa,China,19
334-76-7059,Candace Woodfield,Chilean,Russia,169
531-67-0482,Rickert Ludgrove,Alaskan Athabascan,Brazil,184
115-97-2967,Amargo Joinson,Tohono O'Odham,Russia,361
480-50-1851,Florri McGrann,Paiute,China,166
460-49-3668,Brear Jacobsson,Filipino,Kenya,316
868-42-1616,Rosabel MacScherie,Kiowa,France,58
436-95-1328,Hamilton Tester,Pakistani,Philippines,97
492-44-5925,Murvyn Labbett,Paiute,North Korea,8
625-83-9182,Myrtia Abrahamsohn,Tongan,Russia,116
806-29-3570,Hamish Drieu,Chilean,Malaysia,161
736-03-1714,Arri Spoure,Cheyenne,France,40
735-70-6694,Patton Ribeiro,Bolivian,Sweden,133
270-59-8546,Tamara Strangwood,Delaware,Greece,333
335-44-4845,Antoine Stirrup,Chickasaw,China,376
309-90-1912,Corie Dawidowitz,Laotian,Czech Republic,53
204-85-7979,Emmye Grigore,Argentinian,Sweden,202
100-54-5926,Chrystal Trillow,Cuban,Sweden,15
505-16-1043,Archibald Larraway,Cambodian,Indonesia,308
137-28-6910,Andris Coldbath,Ecuadorian,Belarus,348
348-90-5294,Munroe Moncarr,Polynesian,China,117
551-97-9731,Ebba Misson,Panamanian,Poland,57
735-32-4435,Tammie Lackmann,Iroquois,Venezuela,58
647-92-3466,Rasla Samwayes,Sri Lankan,United States,32
156-85-6770,Casey Salack,Paraguayan,Burkina Faso,253
703-05-0840,Dyan Jerger,Puget Sound Salish,China,171
350-61-2997,Dorella Marousek,Yuman,Netherlands,102
143-91-2240,Nevil Tunkin,Paiute,Czech Republic,333
545-21-1429,Latisha Lantry,Alaskan Athabascan,Croatia,350
283-99-8669,Leroi Sebring,Yaqui,France,326
129-16-0328,Frannie Wheatland,Korean,Azerbaijan,342
612-46-5551,Lora Hallgarth,Tlingit-Haida,Japan,82
721-73-0558,Daryn Meates,Panamanian,Sweden,91
718-34-4594,Consolata Rollason,Alaska Native,China,105
398-83-5560,Kristien Simmonite,Central American,Brazil,126
752-35-3361,Letty Stanlake,Delaware,Argentina,381
883-26-1896,Cally Byrth,Cambodian,China,273
760-62-8240,Max Agerskow,American Indian and Alaska Native (AIAN),China,27
454-32-4363,Huberto Dyter,Hmong,Norway,47
467-44-8538,Ilsa Kittiman,Creek,Philippines,75
510-04-1736,Isak Scawen,Potawatomi,Poland,387
122-87-6656,Conroy Incogna,Chinese,China,139
541-49-2648,Ly Loach,Aleut,Vietnam,49
420-97-5873,Cherianne Joselovitch,Venezuelan,Kazakhstan,154
276-22-0696,Sandor Holt,Blackfeet,Malaysia,257
839-55-0704,Xena Beamont,Cree,Sweden,201
499-11-0326,Thoma Kitchingman,Filipino,Indonesia,399
638-54-7709,Willey Sydall,Iroquois,Sweden,380
562-02-1237,Michaella Bartrop,Thai,Poland,158
488-38-4977,Staford Pavolillo,Korean,China,27
509-01-0732,Shawnee Reasce,Tongan,China,171
301-18-9631,Xaviera Jinda,Pueblo,Indonesia,209
240-13-7371,Jackquelin Geaves,Iroquois,Afghanistan,359
181-72-8845,Tye Vannoni,Paraguayan,Russia,395
797-78-2585,Clive Del Castello,Micronesian,Serbia,287
772-16-3144,Mary Dunthorn,Bangladeshi,Ecuador,74
736-98-0140,Skip Douse,American Indian,Poland,322
582-54-5145,Alyse Presland,Chamorro,Pakistan,308
824-70-0844,Ody Medendorp,Guamanian,Indonesia,233
332-82-7697,Crista Brookfield,American Indian,China,80
704-77-9297,Simone Jenney,Salvadoran,Serbia,155
841-05-9749,Abbey Shillito,Argentinian,Russia,4
172-99-5435,Ricardo Harroll,Cambodian,China,253
567-18-7515,Evie Spellsworth,Asian Indian,Bulgaria,223
366-43-0512,Taylor Endrizzi,Malaysian,Sweden,33
778-60-6016,Regina Siflet,Potawatomi,Mexico,128
653-98-4313,Andee Nilges,Creek,Chad,256
836-15-9636,Urbanus O' Driscoll,Yuman,Chile,13
151-42-7271,Ernesto Mulmuray,Colville,China,94
445-33-4167,Teena Atley,Seminole,Argentina,32
749-11-0192,Tori Malin,Uruguayan,Hungary,282
699-80-4718,Joyous Mountfort,Shoshone,China,217
637-76-8872,Pearla Rothschild,Chickasaw,Guatemala,184
278-59-2511,Arlene Aronoff,Mexican,Micronesia,128
242-77-1317,Emmey Polsin,Yakama,Brazil,149
233-67-1777,Barbra Dowrey,Crow,Russia,277
308-30-7892,Liane Baudoux,Panamanian,Sweden,374
580-13-1561,Etti Jaffa,Alaska Native,Colombia,206
662-68-9596,Bard Suscens,Tlingit-Haida,Belize,81
121-64-3923,Kata Breston,Yaqui,Indonesia,163
682-73-5519,Fidela Scarlet,Delaware,China,105
212-52-9933,Stephi Hallin,Aleut,Brazil,116
552-84-3934,Ricki Scotney,Filipino,China,137
109-74-4032,Monte Tree,Native Hawaiian,Sweden,3
185-14-8775,Adham Brett,White,Jamaica,95
182-71-2416,Cam Carse,Asian Indian,Tajikistan,62
312-37-7103,Alma Gouldie,Potawatomi,United States,270
215-07-2905,Agnese Aleshkov,Spaniard,China,175
205-63-1306,Gun Pettigree,Salvadoran,Nigeria,394
852-86-0057,Anne-corinne Infantino,Salvadoran,Nigeria,185
733-88-8151,Sibeal Longbottom,Sioux,Russia,128
741-36-3500,Micheil Clucas,Cuban,China,239
742-04-7892,Blakelee Clyne,Japanese,China,236
754-60-9007,Alonzo Jeannenet,South American,Indonesia,386
333-99-9193,Sasha Matusovsky,Panamanian,Argentina,183
525-05-3781,Myrtie Scritch,Kiowa,Mexico,252
811-67-4960,Michel McIvor,American Indian and Alaska Native (AIAN),Indonesia,399
876-65-7233,Birch Bussy,Puget Sound Salish,China,315
334-78-4920,Adela Stewartson,Puerto Rican,Syria,93
487-17-3411,Sandy Phidgin,Yuman,Philippines,343
689-55-5388,Jenelle Blakebrough,Lumbee,Afghanistan,280
115-72-4903,Frans Righy,Chilean,Bolivia,106
766-93-5232,Lay Gyenes,Sri Lankan,Brazil,379
227-28-8805,Genovera MacCourt,Mexican,Serbia,371
863-68-6930,Alwin Heinicke,Asian Indian,China,142
382-60-4949,Lisha Griffin,Korean,Portugal,217
539-60-1052,Gretta Gainseford,Fijian,France,84
573-89-1738,Currey Statersfield,Crow,Poland,13
299-26-2306,Clemmy Plant,Native Hawaiian,Indonesia,195
227-80-0088,Vidovik Wonham,Chippewa,Palestinian Territory,311
333-36-9892,Dacy Sarfati,Black or African American,Palau,103
763-21-8336,Cassondra Lyndon,Pima,China,13
445-56-2376,Julie Ravenscraft,Uruguayan,China,294
110-21-7798,Natalee Boyda,Spaniard,Palestinian Territory,129
816-92-8957,Noam McKenzie,Chilean,France,175
179-83-3718,Kalinda Odcroft,Sioux,Russia,340
335-86-9037,Isaak Seilmann,Panamanian,Brazil,271
328-36-6346,Abigail Gay,Chippewa,Indonesia,291
870-61-5399,Caye Schroder,Chippewa,Indonesia,392
890-38-9806,Neville Klimkov,Crow,Russia,333
351-81-5912,Bendicty Norssister,Sri Lankan,China,66
472-17-0733,Winny Cruise,Bolivian,Indonesia,139
380-40-8599,Aguste Delucia,Vietnamese,Netherlands,295
690-33-3591,Bernie Bertenshaw,Latin American Indian,Vietnam,289
814-13-8718,Gerard McFayden,Chickasaw,Indonesia,344
226-02-2153,Agnella Checketts,Native Hawaiian and Other Pacific Islander (NHPI),Argentina,289
507-29-9314,Kit Haddeston,Latin American Indian,Argentina,52
529-85-2301,Xavier Kolis,Yuman,Sweden,114
101-40-4170,Tandie Alldis,Mexican,Brazil,99
351-51-5411,Kania Coey,Seminole,China,37
489-07-3865,Elene Stollberg,Chamorro,Portugal,229
171-70-7178,Irvine Jacquot,Korean,Brazil,180
416-72-2810,Ody Pagitt,Vietnamese,China,103
272-77-3155,Yolane Gauntlett,Panamanian,Indonesia,207
637-16-8157,Grantham Drane,Taiwanese,Cameroon,27
214-79-5314,Waylon Dinis,Cambodian,Palestinian Territory,66
657-47-1293,Ezra Thompson,Sioux,South Korea,321
669-58-3658,Burnard Cometson,Yuman,Malaysia,172
519-60-1802,Brian Hubbart,Venezuelan,Jamaica,307
380-96-6208,Aube Sharvell,Comanche,Morocco,124
684-96-1374,Bevin Punt,Panamanian,Indonesia,259
139-86-5444,Chase Aguilar,Eskimo,Czech Republic,238
330-01-4506,Christin Gaither,Central American,Ukraine,305
548-29-3270,Maribelle Keddey,Sri Lankan,Niger,300
383-45-8991,Neal Troillet,Japanese,Indonesia,8
729-18-3312,Leighton Wasson,Ute,Colombia,56
594-58-1498,Ash Veare,Yaqui,Philippines,24
549-06-5764,Milena Plumstead,Alaska Native,Poland,234
500-50-6777,Madelina O'Kenny,Pueblo,Sudan,29
458-50-1479,Marylou Fergie,Korean,Armenia,334
636-15-1630,Kayla Ingolotti,Bangladeshi,Poland,142
870-66-9138,Suzanna Gowland,Vietnamese,Vietnam,379
893-99-3595,Maribel Milne,Fijian,France,273
545-39-8204,Kimberley Calderon,Yakama,Uganda,124
336-62-1779,Kimball Cowin,Tongan,Palau,133
281-20-2873,Brewer Leeburne,Ecuadorian,Vietnam,394
466-15-5205,Gal Breed,Yuman,United States,22
300-28-4199,Augustine McGroarty,Melanesian,Slovenia,154
694-50-4557,Udall Rubinowitch,Paiute,China,343
749-92-2125,Calley Lazell,Seminole,New Caledonia,79
889-26-9353,Richie Orriss,Apache,China,380
306-66-2991,Frederica Campey,Creek,Finland,168
398-57-4628,Filippo Monckman,Cuban,Russia,301
570-70-4132,Ezechiel Gate,Peruvian,Portugal,318
460-70-6565,Sharl Adshad,Alaska Native,El Salvador,276
445-61-8496,Linette Huddy,Navajo,Syria,181
864-69-2173,Ogdon Lightowlers,Hmong,Sweden,196
502-17-9174,Helga Gilbee,Uruguayan,Niger,144
862-07-2159,Viviyan Caldicot,Cambodian,Canada,118
715-61-0972,Fayth Uphill,Delaware,Poland,305
822-24-5746,Jenna Etridge,Argentinian,United States,43
541-05-6616,Siegfried Stenbridge,Asian,China,39
884-40-3444,Adoree Aluard,Osage,Russia,151
169-79-8645,Darnall Rosenzwig,Delaware,China,1
495-70-2027,Windham Willock,Sioux,Finland,359
238-33-6528,Elfrida Queste,Tongan,China,212
167-63-2916,Abbie Danford,Pakistani,Brazil,141
556-78-3606,Lonnard Bownas,Kiowa,Peru,341
139-28-4924,Latisha Caizley,Menominee,Mongolia,298
840-23-6684,Carmine Fulks,Lumbee,Russia,286
520-80-5428,Cirilo Rochford,Sri Lankan,Japan,115
658-91-0136,Gerick Bowle,Paiute,Cameroon,280
721-28-1273,Nealy Berston,Cherokee,Indonesia,144
233-27-4484,Ilysa Tuohy,Central American,China,218
544-69-8342,Parker Roller,Colombian,China,357
173-71-4145,Abe Menendez,Puget Sound Salish,Indonesia,239
355-55-4699,Ardine Kitchenside,American Indian and Alaska Native (AIAN),Poland,338
209-66-2976,Waverley Stucksbury,Yaqui,Pakistan,348
617-07-7353,Sauveur Zellner,Cuban,Azerbaijan,155
884-08-6422,Renate Waker,Indonesian,Poland,358
114-11-4948,Dot Oxenham,Tongan,Russia,204
533-13-9706,Christie Hurles,Cambodian,Poland,298
476-91-4874,Mil Tomeo,Thai,France,316
890-88-2988,Rolf Crossgrove,Delaware,Egypt,18
716-47-7449,Kirbie Amoss,Bangladeshi,United States,118
155-18-1442,Ingeborg McNerlin,Ecuadorian,China,156
394-54-8551,Charita Croci,Puerto Rican,Slovenia,83
332-46-0811,Ardra Klyner,Tohono O'Odham,Indonesia,139
492-36-9314,Belia Sollom,Argentinian,China,395
212-63-6896,Mohandis Ghelarducci,Choctaw,Indonesia,302
493-03-6463,Prescott Surr,Costa Rican,China,23
149-41-5863,Rorie Riddoch,Vietnamese,Jamaica,93
193-73-0197,Elvin Jeffels,Seminole,Sweden,126
520-10-5999,Birch Thumann,Laotian,Portugal,230
357-53-6562,Marie Hasley,Chilean,Portugal,89
192-03-6794,Danyette Ibbetson,Menominee,China,396
416-16-7910,Catharine Carslake,Fijian,United States,134
422-52-5936,Ardath Boag,American Indian,Indonesia,395
654-89-6811,Grissel Paydon,Latin American Indian,France,67
465-71-6832,Claresta Elvins,Chippewa,Swaziland,330
715-11-2365,Carrol Gustus,Bangladeshi,Nigeria,216
646-24-7929,Aretha Pietroni,Japanese,Finland,392
342-05-8193,Abbie Rushbury,Dominican (Dominican Republic),China,215
369-81-6714,Mathilde Kosiada,Pima,Poland,27
875-60-3323,Maurene Bensley,Native Hawaiian and Other Pacific Islander (NHPI),Ghana,70
321-05-4929,Ollie Lehrer,Puerto Rican,Morocco,399
711-96-3926,Lorenzo Rushton,Seminole,United States,101
618-33-0159,Annelise Gearing,Salvadoran,Poland,392
242-85-5303,Eddy Ryles,Osage,South Africa,103
814-89-8822,Dwayne Barlass,Samoan,Canada,283
115-39-7473,Jesse McKiddin,Polynesian,Russia,157
284-45-7152,Dinnie Fraczak,Honduran,France,74
777-82-3345,Lalo Jiroutek,Potawatomi,Poland,312
431-29-3847,Correy Thorsen,Peruvian,Iran,320
461-18-7875,Woody Warlaw,Nicaraguan,Peru,298
187-07-3840,Elsworth O'Dwyer,Tohono O'Odham,Ukraine,296
543-99-6234,Chen Bollin,Puerto Rican,Indonesia,313
609-53-9418,Berti Brameld,Puget Sound Salish,Honduras,260
891-30-2074,Zebedee Yearn,Chickasaw,Indonesia,187
892-10-1509,Debi Cosgrive,Thai,Greece,297
441-04-0296,Clywd Eastup,Osage,France,1
367-25-2162,Letti Jevon,Venezuelan,United States,387
518-37-5262,Sarena Kleinhandler,Chilean,United States,124
739-63-3331,Leonid Daulby,Hmong,Pakistan,19
299-59-4713,Briggs Pikett,Tongan,Russia,50
